Node,Risk_Score
MLT_C27,0.9433333333333334
GBR_C28,0.9433333333333334
SAU_J61,0.9433333333333334
WXOECD_C28,0.9433333333333334
KOR_C26,0.9433333333333334
USA_J61,0.9433333333333334
POL_J61,0.9433333333333334
LAO_C28,0.94
W_O_C28,0.94
S2_S8_C26,0.94
D_C27,0.94
ARE_C28,0.94
JOR_J61,0.9366666666666666
USA_C28,0.9366666666666666
HKG_J61,0.9366666666666666
FIN_J61,0.9366666666666666
MAR_C26,0.9366666666666666
DNK_J61,0.9366666666666666
PER_C26,0.9366666666666666
ARG_C26,0.9366666666666666
PER_C27,0.9333333333333333
ASEAN_C28,0.9333333333333333
BLR_C26,0.9333333333333333
ARG_C28,0.9333333333333333
RUS_J61,0.93
KAZ_C28,0.93
BGD_C28,0.93
NLD_C28,0.93
EU15_C26,0.93
G20_C28,0.93
TUN_C27,0.9266666666666666
A5_A7_J61,0.9266666666666666
BEL_J61,0.9266666666666666
GRC_J61,0.9266666666666666
HKG_C26,0.9266666666666666
G20_C26,0.9266666666666666
ARE_J61,0.9266666666666666
WXOECD_C27,0.9233333333333333
D_C28,0.9233333333333333
COD_J61,0.9233333333333333
TUR_C27,0.9233333333333333
BGR_C27,0.9233333333333333
EU15_C28,0.9233333333333333
IRL_C28,0.92
S2_J61,0.92
RUS_C28,0.92
OECD_J61,0.92
ASEAN_J61,0.92
EA19_C28,0.92
IND_C27,0.9166666666666666
WXOECD_J61,0.9133333333333333
POL_C26,0.9133333333333333
ESP_C26,0.9133333333333333
KAZ_C27,0.9133333333333333
GRC_C28,0.9133333333333333
APEC_J61,0.9133333333333333
WXD_C27,0.91
ITA_J61,0.9066666666666666
S2_C27,0.9033333333333333
IND_C28,0.9
EU27_2020_C28,0.9
AUT_C28,0.9
ASEAN_C26,0.9
BRN_C27,0.8966666666666666
EU15_C27,0.8966666666666666
CHN_J61,0.89
NGA_J61,0.89
EA19_C27,0.89
EU15_J61,0.8833333333333333
TUR_C28,0.8833333333333333
ISR_C27,0.8833333333333333
A5_A7_C28,0.88
EA19_J61,0.8766666666666667
E_J61,0.8766666666666667
MYS_C26,0.8766666666666667
WXD_C26,0.8633333333333333
EGY_J61,0.8633333333333333
PAK_C26,0.8633333333333333
IRL_J61,0.86
SWE_C26,0.86
W_J61,0.86
FIN_C27,0.86
USA_C27,0.8566666666666667
BRN_C26,0.8566666666666667
WXOECD_C26,0.8566666666666667
KAZ_J61,0.8533333333333334
NLD_C27,0.8533333333333334
BRA_C28,0.85
CHN_C26,0.85
DNK_C28,0.85
SAU_C26,0.8466666666666667
BGR_J61,0.8466666666666667
CAN_C26,0.8466666666666667
EU28_C27,0.8366666666666667
LAO_C26,0.8366666666666667
COL_C26,0.8333333333333334
PRT_J61,0.8333333333333334
W_C26,0.8333333333333334
ARE_C26,0.83
POL_C28,0.83
BRN_J61,0.8266666666666667
EGY_C27,0.8266666666666667
VNM_C27,0.8266666666666667
EGY_C26,0.82
USA_C26,0.8166666666666667
BGD_J61,0.8166666666666667
TUR_J61,0.8133333333333334
ISL_C27,0.7966666666666666
MMR_C28,0.79
NOR_J61,0.79
ISR_C26,0.79
APEC_C27,0.7866666666666666
ASEAN_C27,0.7866666666666666
LVA_C28,0.7866666666666666
E_C28,0.7866666666666666
LAO_J61,0.78
W_O_J61,0.7766666666666666
CIV_C26,0.77
HKG_C28,0.7666666666666667
OECD_C27,0.7633333333333333
LVA_C26,0.7566666666666667
OECD_C26,0.75
PHL_J61,0.7433333333333333
APEC_C28,0.7433333333333333
EU28XEU15_C27,0.7266666666666667
BRN_C28,0.7266666666666667
SVN_C27,0.72
CIV_C27,0.71
HRV_C28,0.6933333333333334
SVK_J61,0.68
HKG_C27,0.5833333333333334
A5_A7_C26,0.57
F_C27,0.5433333333333333
CIV_C28,0.5
ESP_J61,0.49666666666666665
JPN_C27,0.48
TWN_C26,0.47
W_C28,0.46
ISL_C28,0.45666666666666667
IDN_C26,0.4533333333333333
AUS_J61,0.45
MMR_C27,0.44333333333333336
CRI_C28,0.41333333333333333
STP_C27,0.4066666666666667
UKR_C26,0.3933333333333333
STP_J61,0.39
CMR_J61,0.39
CHE_J61,0.39
UKR_C28,0.37333333333333335
STP_C28,0.37333333333333335
SEN_J61,0.36
CHE_C28,0.36
CHE_C27,0.35333333333333333
AGO_J61,0.35333333333333333
CMR_C28,0.35
G20_C27,0.35
SEN_C26,0.3466666666666667
KHM_C27,0.3466666666666667
AGO_C28,0.33
CMR_C27,0.31333333333333335
CMR_C26,0.30666666666666664
CHE_C26,0.30333333333333334
JPN_J61,0.30333333333333334
LVA_J61,0.2833333333333333
MMR_J61,0.27
AGO_C27,0.26
STP_C26,0.25666666666666665
KHM_J61,0.24666666666666667
MMR_C26,0.22
AGO_C26,0.19666666666666666
KHM_C26,0.19333333333333333
KHM_C28,0.11
SEN_C27,0.09666666666666666
COD_C28,0.08
